NiceForNow Configuration,Tất Cả
Synchronization of media storages has been completed.,Đồng bộ hóa bộ nhớ phương tiện đã hoàn tất.
Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.,Máy chủ web của bạn bị thiết lập không đúng và cho phép truy cập trái phép vào những tệp nhạy cảm.
System Messages:,Hệ thống tin nhắn:
Critical System Messages,Hệ thống tin nhắn quan trọng
Major System Messages,Hệ thống tin nhắn chính
System messages,Hệ thống tin nhắn
See All (,Xem Tất cả (
 unread), chưa đọc)
Show Toolbar,Hiển thi thanh công cụ
"%1 Items in Cart","%1 mục trong Giỏ hàng"
"You are now logged out.","Bạn đã đăng xuất tài khoản!"
"PROCEED TO CHECKOUT","TIẾN HÀNH THANH TOÁN"
"You have no items in your shopping cart.","Bạn không có sản phẩm nào trong giỏ hàng."
"Are you sure you would like to remove this item from the shopping cart?","Bạn có chắc chắn muốn xóa mặt hàng này khỏi giỏ hàng không?"
"You have no items in your shopping cart.","Bạn không có sản phẩm nào trong giỏ hàng."
"OK","Xóa"
"We could not find anything for "(key search)"","Chúng tôi không tìm thấy kết quả cho "(key search)""
Show List,Hiển thị Danh Sách
Use HTTPS to Get Feed,Dùng HTTPS để lấy nguồn cấp dữ liệu
Last Update,Lần nâng cấp cuối
Actions,Thao tác
Close popup,Đóng popup
You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.,Bạn đã xem và duyệt qua những lưu ý từ hệ thống. Xin hãy làm mới lại trang web để làm trống cảnh báo hệ thống.
Manage Shopping Cart,Quản lý giỏ hàng
Create Order,Tạo đơn hàng
Update Items and Quantities,Cập nhật sản phẩm và số lượng
Are you sure you want to clear your cart?,Bạn muốn xóa giỏ hàng?
Clear my shopping cart,Xóa giỏ hàng
Add selections to my cart,Thêm sản phẩm đã chọn vào giỏ hàng
Cancel,Hủy bỏ
Shopping Cart for %1 in %2,Shopping Cart for %1 in %2
Select products you want to buy,Chọn sản phẩm bạn muốn mua
Product,Sản phẩm
Products in the Comparison List (%1),So sánh sản phẩm (%1)
Last ordered items (%1),Last ordered items (%1)
ID,ID
SKU,Mã sản phẩm
Recently Compared Products (%1),Các sản phẩm được so sánh gần đây (%1)
Recently Viewed Products (%1),Sản phẩm đã xem gần đây (%1)
Add to Shopping Cart by SKU,Thêm vào giỏ hàng bởi mã sản phẩm
Add to Shopping Cart,Thêm vào giỏ hàng
Wish List (%1),Yêu Thích (%1)
Add to Order by SKU,Thêm vào đơn hàng bởi mã sản phẩm
Add to Order,Thêm vào đơn hàng
Add Products to Order,Thêm Sản Phẩm Vào Đơn hàng
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> sản phẩm cần chú ý.</span>"
Remove All,Xóa tất cả
Only %1%2%3 left in stock,Chỉ %1%2%3 xuất kho
You can buy up to %1 of these per purchase.,Bạn có thể mua tới %1 trong mỗi lần mua.
You must buy at least %1 of these per purchase.,Bạn phải mua ít nhất %1 trong mỗi lần mua.
Specify the product's options.,Chỉ định các tùy chọn của sản phẩm.
Alert me when this item is available.,Thông báo cho tôi khi mặt hàng này có sẵn.
We can't find this customer.,Không tìm thấy khách hàng này.
Shopping cart management is disabled for this customer.,Quản lý giỏ hàng bị tắt cho khách hàng này.
We can't find this store.,Không tìm thấy cửa hàng này.
Customers,Khách hàng
You do not have access to this.,Bạn không có quyền truy cập vào mục này.
Ordered item id is not received.,Không nhận được id mặt hàng đã đặt hàng.
Ordered item is not loaded.,Mục đã đặt hàng không được tải.
Quote item id is not received.,Không nhận được mã sản phẩm được báo giá
Quote item is not loaded.,Không thể tải Sản phẩm được báo giá.
The wish list item id is not received.,Không nhận được id danh sách mong muốn.
The wish list item is not loaded.,Mục danh sách mong muốn không được tải.
An error has occurred. See error log for details.,Phát sinh vấn đề. Xem nhật ký lỗi để biết chi tiết.
You cannot configure a product.,Bạn không thể cấu hình một sản phẩm.
You removed the items.,Bạn đã xóa các mục.
You removed the item.,Bạn đã xóa mục hiện tại.
You cannot add a product.,Bạn không thể thêm sản phẩm.
Order by SKU,Xếp theo mã sản phẩm
The SKU was not found in the catalog.,Mã sản phẩm không được tìm thấy trong mục lục.
Availability: Out of stock.,Trạng thái: Hết hàng.
We don't have as many of these as you want.,Không đủ số lượng cho sản phẩm.
You can't add this many to your cart.,Bạn không thể thêm quá nhiều sản phẩm này.
You need to choose options for your item.,Bạn cần chọn tùy chọn cho sản phẩm của bạn.
We can't add the item to your cart.,Không thể thêm sản phẩm vào giỏ hàng.
"Please enter an actual number in the ""Qty"" field.","Vui lòng nhập một số thực vào trường ""Qty"" ."
This product is assigned to another website.,Sản phẩm này được chỉ định cho một trang web khác.
You can add only enabled products.,Bạn chỉ có thể thêm các sản phẩm đã kích hoạt.
You cannot upload this file.,Bạn không thể tải lên tệp này.
The file is empty.,Tệp trống.
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Bạn chưa nhập mã sản phẩm sản phẩm. Hãy <a href=""%1"">nhấn chọn</a> để thêm sản phẩm bởi mã sản phẩm."
You have not entered a product SKU.,Bạn chưa nhập mã sản phẩm sản phẩm.
"We can't add a product to cart by id ""%1"".","Không thể thêm sản phẩm vào giỏ hàng theo id ""%1""."
Something went wrong while reordering this product.,Phát sinh vấn đề khi sắp xếp lại sản phẩm này.
We can't find this wish list.,Không tìm thấy danh sách cần mua này.
You added %1 product to your shopping cart.,Bạn đã thêm %1 sản phẩm vào giỏ hàng của bạn.
You added %1 products to your shopping cart.,Bạn đã thêm %1 sản phẩm vào giỏ hàng của bạn.
%1 product requires your attention.,%1 sản phẩm yêu cầu bạn chú ý.
%1 products require your attention.,%1 sản phẩm yêu cầu sự chú ý của bạn.
"Yes, for Specified Customer Groups","Yeah, cho các nhóm khách hàng được chỉ định"
"Yes, for Everyone","Vâng, cho mọi người"
The file is corrupt.,Các tập tin bị hỏng.
Please upload the file in .csv format.,Vui lòng tải tệp lên .csv format.
%1 item(s) need your attention.,%1 mục cần bạn chú ý.
Apply Coupon Code,Dùng mã khuyến mãi
Remove Coupon Code,Bỏ mã khuyến mãi
"The coupon code ""%1"" is not valid.","Mã giảm giá ""%1"" không hợp lệ."
Subtotal,Tổng phụ
Discount,Chiết khấu
Row Subtotal,Tổng phụ theo hàng
Action,Thao tác
No ordered items,Không có sản phẩm nào được đặt
Total %1 product(s),Tổng số sản phẩm %1
Subtotal:,Tổng phụ:
Move to Wish List,Chuyển đến Danh sách mong muốn
No item specified.,Không xác nhận sản phẩm.
Are you sure you want to remove this item?,Bạn có chắc rằng bạn muốn xóa sản phẩm này?
SKU number,SKU number
Upload File,Tải lên tập tin
"Your csv file must include ""sku"" and ""qty"" columns.","Tệp csv của bạn phải bao gồm cột ""sku"" và ""qty"" ."
Reset,Thiết lập lại
SKU: ,SKU:
"Only <span id=""%1_max_allowed"">%2</span> in stock","Chỉ <span id=""%1_max_allowed"">%2</span> còn hàng"
Item,Sản phẩm
Edit,Chỉnh sửa
Products Requiring Attention,Sản phẩm yêu cầu chú ý
File extensions allowed: .csv,Phần tệp mở rộng phù hợp: .csv
Remove Row,Xóa hàng
Add Products By SKU,Thêm các sản phẩm bằng mã sản phẩm
Shopping Cart Management,Quản lý giỏ hàng
View and modify Shopping Cart,Xem và sửa đổi Giỏ hàng
Order by SKU Settings,Đặt hàng theo Cài đặt SKU
Enable Order by SKU on My Account in Storefront,Kích hoạt Đặt hàng theo mã sản phẩm trên Tài khoản của tôi trong Cửa hàng
Apply Coupon,Áp dụng các phiếu giảm giá
Order by SKU Description,Xếp theo mô tả SKU
Display a Link to Loading a Spreadsheet,Hiển thị Đường Dẫn đến Tải một Bảng Tính
Defines whether a link to My Account & Order by SKU page will be displayed on the widget,Xác định xem liên kết đến trang Đặt hàng theo mã sản phẩm của tôi có được hiển thị trên tiện ích này hay không
Link Text,Đường dẫn dạng ký tự chữ
The text of the link to the My Account & Order by SKU page,Ký tự chữ của đường link dẫn đến Tài Khoản Của Tôi và Đơn Hàng bằng trang SKU
Load a list of SKUs,Tải danh sách các mã SKU
Order by SKU Template,Xếp theo mã sản phẩm mẫu
SKU not found in catalog.,Không tìm thấy SKU trong danh mục.
This file needs to be in .csv format.,Định dạng file phải là .csv.
This customer couldn't be found. Verify the customer and try again.,Không thể tìm thấy khách hàng này. Xác minh khách hàng và thử lại.
This store couldn't be found. Verify the store and try again.,Không thể tìm thấy cửa hàng này. Xác minh cửa hàng và thử lại.
"An error occurred. For details, see the error log.","Đã xảy ra lỗi. Để biết chi tiết, hãy xem nhật ký lỗi."
The ordered item needs to be loaded. Load the item and try again.,Mục đã đặt hàng cần được tải. Tải vật phẩm và thử lại.
The quote item ID needs to be received. Set the ID and try again.,ID mặt hàng báo giá cần được nhận. Đặt ID và thử lại.
The quote item needs to be loaded. Load the item and try again.,Mục báo giá cần được tải. Tải các mục và thử lại.
The wish list item ID needs to be received. Set the ID and try again.,ID mục danh sách mong muốn cần được nhận. Đặt ID và thử lại.
The wish list item needs to be loaded. Load the item and try again.,Mục danh sách mong muốn cần được tải. Tải các mục và thử lại.
The file is corrupt and can't be used.,Tệp bị hỏng và không thể sử dụng được.
Entity type model '%1' is not found,Mô hình thực thể loại '%1' không được tìm thấy
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,Loại thực thể mẫu phải là ví dụ của \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType
There are no product types available for export,Không có sẵn loại sản phẩm để xuất khẩu
%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface,%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface
Sales Rule,Quy tắc cho giảm giá
Index sales rule,Đánh chỉ mục Sales Rule
Related Search Terms,Cụm từ tìm kiếm có liên quan
Add New Search Term,Thêm cụm từ tìm kiếm mới
Missing search engine parameter.,Missing search engine parameter.
Enable Search Recommendations,Kích hoạt đề xuất tìm kiếm
When you enable this option your site may slow down.,Khi bạn kích hoạt tùy chọn này trang web của bạn có thể bị chậm.
Search Recommendations Count,Số lượng đề xuất tìm kiếm
Show Results Count for Each Recommendation,Hiển thị số lượng kết quả cho mỗi đề xuất
Enable Search Suggestions,Cho phép đề xuất tìm kiếm
Search Suggestions Count,Tính đề nghị tìm kiếm
Show Results Count for Each Suggestion,Hiển thị kết quả tính cho từng đề nghị
Did you mean,Ý bạn là
Store,Cửa hàng
Suggested Term,Từ gợi ý
Synonym,Từ đồng nghĩa
"RPC call failed, connection timed out after %time_out.","RPC kết nối không thành công, kết nối bị ngắt quãng sau khi %time_out."
Message has been rejected: %1,Tin nhắn đã bị từ chối: %1
Error while checking if topic is synchronous,Phát sinh vấn đề khi kiểm tra đồng bộ chủ đề
Subscription status,Trạng thái đăng ký
"Sorry, there has been an error processing your request. Please try again later.","Xin lỗi, đã có một lỗi xử lý yêu cầu của bạn. Hãy thử lại sau."
Time value has an unsupported format,Giá trị định dạng thời gian không được hỗ trợ
Cron settings can't be saved,Không thể lưu cài đặt Cron
There was an error save new configuration value.,Đã có lỗi lưu giá trị cấu hình mới.
Please select a vertical.,Vui lòng chọn một dọc.
Command was not found.,Lệnh không được tìm thấy.
Input data must be string or convertible into string.,Dữ liệu được nhập phải là chuỗi hoặc có thể chuyển đổi thành chuỗi
Input data must be non-empty string.,Hãy nhập thông tin
Not valid cipher method.,Phương pháp mã hóa không hợp lệ.
Encryption key can't be empty.,Không được để trống khóa mã hóa.
"Source ""%1"" is not exist"," ""%1"" không tồn tại"
"These arguments can't be empty ""%1""","Không được để trống ""%1"""
Cannot find predefined integration user!,Không tìm thấy người dùng được xác định trước hội nhập!
File is not ready yet.,Tệp chưa sẵn sàng.
Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.,URL Cơ sở của bạn đã được thay đổi và các báo cáo của bạn đang được cập nhật. Báo cáo Nâng cao sẽ khả dụng sau khi thay đổi này được xử lý. Vui lòng thử lại sau.
Failed to synchronize data to the Magento Business Intelligence service. ,Không thể đồng bộ hóa dữ liệu với dịch vụ Magento Business Intelligence.
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Thử đồng bộ hóa lại</a>"
TestMessage,Kiểm tra tin nhắn
Apps and Games,Ứng dụng và trò chơi
Athletic/Sporting Goods,Thể thao/thể thao hàng hoá
Art and Design,Nghệ thuật và thiết kế
Advanced Reporting,Báo cáo nâng cao
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Nắm được cái nhìn sâu hơn và nắm quyền năng suất kinh doanh của bạn, sử dụng báo cáo sản phẩm, đơn hàng và sản phẩm động của chúng tôi để phù hợp với dữ liệu khách hàng."
Go to Advanced Reporting,Xem báo cáo nâng cao
Analytics,Phân tích
API,API
Business Intelligence,Kinh doanh thông minh
BI Essentials,BI Essentials
"This service provides a dynamic suite of reports with rich insights about your business. Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the ""Go to Advanced Reporting"" link. </br> For more information"," see our <a href=""https://magento.com/legal/terms/cloud-terms"">terms and conditions</a>."
Advanced Reporting Service,Dịch vụ báo cáo nâng cao
Time of day to send data,Thời gian trong ngày để gửi dữ liệu
Industry,Ngành công nghiệp
"In order to personalize your Advanced Reporting experience, please select your industry.","Để cá nhân hóa trải nghiệm báo cáo nâng cao của bạn, vui lòng chọn ngành của bạn."
<strong>Get more insights from Magento Business Intelligence</strong>,<strong>Nhận thêm thông tin chi tiết từ tin tức kinh doanh Magento</strong>
"Magento Business Intelligence provides you with a simple and clear path to becoming more data driven.</br> Learn more about <a target=""_blank"" href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence cung cấp cho bạn một con đường đơn giản và rõ ràng để trở nên theo hướng dữ liệu nhiều hơn. </br> Tìm hiểu thêm về <a target = _ blank"" href = ""https://dashboard.rjmetrics.com/v2/magento/signup/ Các cấp ""> Magento BI Essentials và BI Pro </a>."""
Auto Parts,Phụ tùng ô tô
"Baby/Children’s Apparel, Gear and Toys","Quần áo, thiết bị và đồ chơi cho trẻ con/Trẻ em"
Beauty and Cosmetics,Làm đẹp và Mỹ phẩm
"Books, Music and Magazines","Sách, Nhạc và Tạp chí"
Crafts and Stationery,Thủ công mỹ thuật và Văn phòng phẩm
Consumer Electronics,Điện tử dân dụng
Deal Site,Trang web giao dịch
Fashion Apparel and Accessories,Trang phục và Phụ kiện thời trang
"Food, Beverage and Grocery","Thực phẩm, đồ uống và hàng tạp hóa"
Home Goods and Furniture,Đồ gia dụng và nội thất
Home Improvement,Cải tạo nhà
Jewelry and Watches,Đồ trang sức và đồng hồ
Mass Merchant,Người bán hàng loạt
Office Supplies,Văn phòng phẩm
Outdoor and Camping Gear,Đồ dã ngoại và cắm trại
Pet Goods,Đồ vật nuôi
Pharma and Medical Devices,Dược phẩm và Thiết bị y tế
Technology B2B,Công nghệ B2B
The time value is using an unsupported format. Enter a supported format and try again.,Giá trị thời gian đang sử dụng định dạng không được hỗ trợ. Nhập một định dạng được hỗ trợ và thử lại.
Please select an industry.,Vui lòng chọn ngành công nghiệp.
The data is invalid. Enter the data as a string or data that can be converted into a string and try again.,Dữ liệu không hợp lệ. Nhập dữ liệu dưới dạng chuỗi hoặc dữ liệu có thể được chuyển đổi thành chuỗi và thử lại.
The data is invalid. Enter the data as a string and try again.,Dữ liệu không hợp lệ. Nhập dữ liệu dưới dạng chuỗi và thử lại.
The data is invalid. Use a valid cipher method and try again.,Dữ liệu không hợp lệ. Sử dụng phương pháp mã hóa hợp lệ và thử lại.
Enter the encryption key and try again.,Nhập khóa mã hóa và thử lại.
"The ""%1"" source doesn't exist."," ""%1"" không tồn tại."
Retry Synchronization,Thử đồng bộ hóa lại
Done,Đã thực hiện
Retry,Thử lại
'Action Details - #' .,'Hành động thông tin chi tiết - #'.
"%1 item(s) have been scheduled for update.""","%1 mã đã được lên lịch cập nhật."""
Bulk uuid %bulkUuid not exist, %bulkUuid không tồn tại
Topic %1,Đề Mục %1
Something went wrong while processing the request.,Điều gì đó đã sai trong khi xử lý yêu cầu.
Error processing %key element of input data,Xử lý lỗi %key của dữ liệu được nhập
"Sorry, something went wrong during product prices update. Please see log for details.","Xin lỗi, đã xảy ra sự cố trong quá trình cập nhật giá sản phẩm. Vui lòng xem nhật ký để biết chi tiết."
%1 item(s) are currently being updated.,%1 mã hiện đang được cập nhật.
"Task ""%1"": ","Nhiệm vụ ""%1"": "
%1 item(s) have been scheduled for update.,%1 mã đã được lên lịch cập nhật.
%1 item(s) have been successfully updated.,%1 mã đã được cập nhật thành công.
%1 item(s) failed to update,%1 thất bại để cập nhật mã
Details,Chi tiết
View Details,Xem chi tiết
Dismiss,Loại bỏ
"Pending, in queue...","Đang chờ xử lý, trong hàng đợi..."
%1 items selected for mass update,%1 cập nhật các mục đã được chọn
", %1 successfully updated",", %1 cập nhật thành công"
", %1 failed to update",", %1 cập nhật thất bại"
Something went wrong.,"Phát sinh vấn đề khi xử lý, hãy thử lại."
Action Log,Nhật ký hành động
Bulk Actions,Hàng loạt hành động
Action Logs,Nhật ký hành động
Days Saved in Log,Ngày này được lưu trong nhật ký
Description of Operation,Mô tả hoạt động
Start Time,Thời gian bắt đầu
Items to Retry,Items to Retry
"To retry, select the items and click “Retry”.","Để thử lại, chọn các mục và nhấp vào ""Thử lại""."
Items That Can’t Be Updated.,Các mục hàng không thể được cập nhật.
Status,Trạng thái
Dismiss All Completed Tasks,Bỏ qua tất cả hoàn thành nhiệm vụ
Action Details - #,Hành động thông tin chi tiết - #
Number of Records Affected,Số lượng hồ sơ bị ảnh hưởng
We can't find the role for the user you wanted.,Không tồn tại vai trò cho người dùng bạn muốn.
Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,Có vấn đề xảy ra khi dịch danh sách nguồn được cho phép. Bạn có thể tìm thấy nhiều thông tin trong exceptions log.
The role wasn't found for the user. Verify the role and try again.,The role wasn't found for the user. Verify the role and try again.
You created the order.,Bạn đã đặt hàng.
Order saving error: %1,Lỗi lưu đơn hàng: %1
Please choose a payment method.,Chọn một phương thức thanh toán.
We can't process your order right now. Please try again later.,Không thể xử lý đơn hàng của bạn ngay bây giờ. Hãy thử lại sau.
An error occurred on the server. Please try to place the order again.,Lỗi xuất hiện trên máy chủ. Hãy thử đặt hàng lại một lần nữa.
Credit Card: xxxx-%1,Thẻ tín dụng: xxxx-%1
amount %1,số tiền %1
failed.,thất bại.
successful.,thành công.
Authorize.Net Transaction ID %1.,Authorize.Net ID giao dịch %1.
authorize and capture,Ủy quyền và chấp nhận giao dịch
capture,xác nhận giao dịch
void,hủy
Gateway error: %1,Lỗi cổng thanh toán: %1
Something went wrong in the payment gateway.,Có vấn để ở cổng thanh toán.
Invalid amount for capture.,Số tiền không đúng cho xác nhận giao dịch.
Payment capturing error.,Lỗi xác nhận giao dịch.
Invalid transaction ID.,Giao dịch ID không đúng.
Payment voiding error.,Lỗi hủy thanh toán.
Invalid amount for refund.,Số tiền hoàn trả không đúng.
Payment refunding error.,Lỗi thanh toán hoàn trả.
The transaction was declined because the response hash validation failed.,Giao dịch bị từ chối bởi vì chuỗi xác nhận thất bại.
This payment didn't work out because we can't find this order.,Thanh toán không được thực hiện do không tìm thấy đơn hàng tương ứng.
There was a payment authorization error.,Lỗi ủy quyền thanh toán.
Please enter a transaction ID to authorize this payment.,Vui lòng điền ID giao dịch để ủy quyền thanh toán.
Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.,Số tiền thanh toán và tiền đơn hàng khác nhau. Hãy kiểm tra lại.
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Giao dịch %1 đã được chấp nhận. Số tiền %2. Trạng thái giao dịch là ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Giao dịch %1 đã bị hủy bỏ / từ chối. trạng thái giao dịch là ""%2"". Số tiền %3."
Authorize Only,Chỉ ủy quyền
Unable to get transaction details. Try again later.,Không thể nhận được chi tiết giao dịch. Thử lại lần nữa.
Electronic payments save the trees.,Lưu thanh toán điện tử.
Credit Card Type,Loại thẻ tín dụng
Credit Card Number,Số thẻ tín dụng
Card Verification Number,Số xác minh thẻ
Fraud Detection ,Phát hiện gian lận
FDS Filter Action,Hoạt động lọc FDS
AVS Response,Phản hồi AVS Response
Card Code Response,Phản hồi mã thẻ
CAVV Response,Phản hồi CAVV
Fraud Filters,Bộ lọc gian lận
"Sorry, but something went wrong. Please contact the seller.","Xin lỗi, nhưng có gì đó đã đi sai. Hãy liên hệ với dịch vụ khách hàng của PayPal."
Authorize.net Direct Post,Phương Thức Thanh Toán Direct Post của Authorize.net
Enabled,Cho phép
Payment Action,Hành động thanh toán
API Login ID,ID đăng nhập qua API
Transaction Key,Mã giao dịch
Merchant MD5,MD5 người bán
Test Mode,Chế độ dùng thử
Gateway URL,Đường dẫn URL của cổng thanh toán
Transaction Details URL,Đường dẫn đến chi tiết giao dịch
Accepted Currency,Tiền tệ được chấp nhận
Email Customer,Email của khách hàng
Merchant's Email,Địa chỉ email người bán
Credit Card Types,Các loại thẻ tín dụng
Credit Card Verification,Xác minh thẻ tín dụng
Payment from Specific Countries,Thanh toán từ các nước cụ thể
Maximum Order Total,Giá trị đơn hàng tối đa
Sort Order,Thứ tự sắp xếp
Cannot place order.,Không thể đặt hàng.
'Gateway error: ' .,'Gateway error: ' .
Unable to place order. Please try again later.,Không thể đặt hàng. Hãy thử lại sau.
A server error stopped your order from being placed. Please try to place your order again.,Lỗi máy chủ khiến đơn đặt hàng của bạn không được đặt. Vui lòng thử đặt hàng lại.
The transaction details are unavailable. Please try again later.,Các chi tiết giao dịch không có sẵn. Vui lòng thử lại sau.
Authorize.Net Direct Post (Deprecated),Authorize.Net Đăng trực tiếp (Không được dùng nữa)
Signature Key,Khóa chữ ký
There was an error while trying to process the request.,Phát sinh vấn đề khi cố gắng xử lý yêu cầu.
This transaction cannot be refunded with its current status.,Giao dịch này không thể được hoàn lại với trạng thái hiện tại của nó.
The authenticity of the gateway response could not be verified.,Không thể xác minh tính xác thực của cổng phản hồi .
Authorize.Net,Authorize.Net
Basic Authorize.Net Settings,Cài đặt Authorize.Net gốc
Environment,Môi Trường
Public Client Key,Khóa khách hàng công khai
Merchant MD5 (deprecated),Người bán MD5 (không dùng nữa)
Advanced Authorize.Net Settings,Cài đặt Authorize.Net nâng cao
Enable Credit Card Verification Field,Bật trường xác minh thẻ tín dụng
Invalid request to gateway.,Yêu cầu cổng vào không hợp lệ.
Invalid gateway credentials.,Thông tin đăng nhập cổng không hợp lệ.
Transaction has been declined. Please try again later.,"Giao dịch đã bị từ chối, vui lòng thử lại sau."
Deselect all,Bỏ chọn tất cả
%s of %s selected,%s trong %s đã chọn
B2B Features,B2B Tính năng
Invalid Form Key. Please refresh the page.,Form Key không hợp lệ. Hãy làm mới trang.
You entered an invalid Secret Key. Please refresh the page.,Bạn điền không đúng khóa bí mật. Vui lòng tải lại trang.
Cache Storage Management,Quản lý bộ nhớ đệm
Flush Magento Cache,Xóa bộ nhớ đệm Magento
